Word_5P4, ziff_index, frequency, POS, ngram_word_index, word_0, word_1, word_2, word_3, word_4, word_5, word_6, word_7, word_8, word_9, word_10, word_11, word_12, word_13, word_14, word_15, word_16, word_17, word_18, word_19, word_20, word_21, word_22, word_23, word_24, word_25, word_26, word_27, word_28, word_29, context_0_0, context_0_1, context_0_2, context_0_3, context_0_4, context_0_5, context_0_6, context_0_7, context_0_8, context_0_9, context_0_10, context_0_11, context_0_12, context_0_13, context_0_14, context_0_15, context_0_16, context_0_17, context_0_18, context_0_19, context_0_20, context_0_21, context_0_22, context_0_23, context_0_24, context_0_25, context_0_26, context_0_27, context_0_28, context_0_29, context_1_0, context_1_1, context_1_2, context_1_3, context_1_4, context_1_5, context_1_6, context_1_7, context_1_8, context_1_9, context_1_10, context_1_11, context_1_12, context_1_13, context_1_14, context_1_15, context_1_16, context_1_17, context_1_18, context_1_19, context_1_20, context_1_21, context_1_22, context_1_23, context_1_24, context_1_25, context_1_26, context_1_27, context_1_28, context_1_29, context_2_0, context_2_1, context_2_2, context_2_3, context_2_4, context_2_5, context_2_6, context_2_7, context_2_8, context_2_9, context_2_10, context_2_11, context_2_12, context_2_13, context_2_14, context_2_15, context_2_16, context_2_17, context_2_18, context_2_19, context_2_20, context_2_21, context_2_22, context_2_23, context_2_24, context_2_25, context_2_26, context_2_27, context_2_28, context_2_29, context_3_0, context_3_1, context_3_2, context_3_3, context_3_4, context_3_5, context_3_6, context_3_7, context_3_8, context_3_9, context_3_10, context_3_11, context_3_12, context_3_13, context_3_14, context_3_15, context_3_16, context_3_17, context_3_18, context_3_19, context_3_20, context_3_21, context_3_22, context_3_23, context_3_24, context_3_25, context_3_26, context_3_27, context_3_28, context_3_29
"<OOV>", 0, 4.81881e+11, unk, 0, -9.18327, 0.501704, 0.0116957, -0.113462, -0.0539592, -0.0088398, 0.0243082, 0.0111066, -0.0104489, -0.00767062, -0.0174563, 0.00726117, 0.00188663, -0.011053, -0.00380548, 0.00298567, 0.00094491, -0.00276601, 0.00542949, -0.00212792, 0.00625295, 0.000399101, 0.0013878, -0.000144041, -0.00324225, 0.00145973, -0.000779163, 0.0011574, 0.000359859, -0.000899655, -0.0588948, 0.00301844, 0.000994064, -0.0146973, 0.00373284, 0.000955477, -0.0137422, 0.00629941, -0.00106838, -0.000994337, -0.0129885, -0.00177536, 0.00308158, 0.00696791, -0.0102773, 0.00230551, -0.00826531, 0.00430006, 0.0128053, 0.00726261, -0.00727706, -0.00154031, 0.0194152, -0.00795807, -0.00890469, 0.0103006, 0.00993822, 0.00113768, -0.00211828, 0.00769647, -0.0572329, -0.00146114, 0.00121499, -0.0147082, 0.00521754, 0.00279398, -0.00931921, 0.00454286, 0.00290208, -0.00249105, -0.0119803, -0.00680601, 0.000920434, 0.0115837, -0.00452872, 0.00295363, -0.0119981, 0.00709996, 0.0105615, 0.014249, -0.0179635, 0.00382378, 0.0259427, -0.0128299, -0.0103434, 0.0118335, 0.0137651, 0.000476558, -0.00164139, 0.0100338, -0.0579597, -0.000502956, 0.00417411, -0.00279531, -0.00553124, 0.00142458, -0.00104768, 0.00198909, 0.00160068, 0.00137032, -0.014683, 0.00288648, 0.000111428, 0.00884426, -0.00985852, 0.000314738, -0.0204956, 0.00826271, 0.00970105, 0.00440855, -0.00588687, 0.0018307, 0.015492, -0.00511948, -0.00772065, 0.0099391, 0.00229192, -0.00167032, -0.000679791, 0.013876, -0.046919, -0.00540618, 0.00203061, 0.00374585, 0.035279, 0.0036249, -0.05534, 0.00863161, 0.000240862, 0.00303732, -0.00177447, -0.00611391, 0.00573603, 0.0219659, -0.000397066, 0.00085572, -0.00842695, 0.0115108, 0.01032, 0.0257905, -0.0330277, -9.3144e-05, 0.0337795, -0.0117331, -0.00474917, 0.0141652, 0.016004, -0.00606715, -0.000520056, 0.0198458
"<s>", 1, 9.51197e+10, unk, 1, 0, 2.26366e-17, 8.66153e-18, 1.92919e-17, 5.23849e-17, -5.88721e-18, -5.26574e-17, 4.27133e-17, -6.42433e-17, -5.48262e-17, 6.04988e-17, -1.10608e-17, 2.20638e-17, 6.64888e-18, 2.35522e-17, 4.69294e-18, -7.20695e-17, -8.67021e-17, 4.13498e-19, 5.37767e-18, 6.2795e-18, -3.21457e-17, -1.61595e-18, -4.5068e-18, -3.97871e-18, -5.22871e-17, 1.51823e-17, -2.97243e-17, -1.54913e-18, 1.34338e-17, -0.0492816, -0.0322854, 0.00457839, -0.00639924, -0.00178318, 0.00409231, 0.00312555, 0.0025706, -0.00181953, -0.00185303, -0.00597256, -0.00962288, 0.000852852, 0.00161182, -0.000904025, -0.00241573, 0.00747473, -0.00284939, 0.00398128, 0.0192986, -0.0279023, 0.0110646, 0.0012726, -0.0111577, -0.00840168, 0.00402603, 0.00817729, -0.0198599, 0.00125164, 0.0355921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"</s>", 2, 9.51197e+10, unk, 2, -1.34959, -3.34099, 0.117553, -0.00699182, -0.0305101, 0.00815436, 0.0181463, -3.0883e-05, -0.00838626, -0.00216986, 0.000383668, 0.00488838, 0.000121872, -0.00595163, -0.00204779, -0.000282144, 0.0046947, 0.00112816, 0.000978236, 2.888e-05, -0.000645917, 0.000452006, 0.000784784, 0.000929052, -0.000389307, 0.00078915, -9.39153e-05, 0.00069307, 0.000122971, -0.000705683, -2.98722e-29, 1.14765e-17, -2.2221e-17, 1.80577e-17, -7.45792e-18, -3.08401e-16, 9.49119e-18, -3.17003e-17, 4.85314e-18, -3.09385e-17, -4.95801e-17, -6.64389e-17, 4.58836e-17, -2.91114e-17, -2.67071e-17, 5.09049e-17, -1.07699e-17, 9.99063e-17, 1.0558e-16, 9.58447e-17, 2.34822e-17, 2.64451e-17, -2.18723e-16, 8.01115e-18, 2.87623e-17, 1.61615e-16, 6.33389e-17, 1.0307e-17, -2.23483e-16, -5.20204e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
",", 3, 3.05787e+10, unk, 3, -0.506552, -0.0371058, -0.0126479, 0.168745, 0.250817, 0.0387284, -0.268461, -0.0043003, -0.0653506, 0.0332017, -0.0075231, -0.029429, -0.0330537, 0.0904021, -0.03015, -0.025015, -0.10277, 0.0691723, 0.0438355, 0.077509, -0.12223, -0.0268477, 0.169006, 0.0103182, -0.0194046, 0.0580242, -0.0519926, 0.0162292, 0.0265683, 0.0186922, -0.047025, 0.00375735, -0.000109709, 0.0302927, 0.0502047, 0.00975628, -0.0683996, 0.0050764, -0.0302659, 0.00814813, -0.00853138, -0.0175057, -0.0145781, 0.0470681, -0.027218, -0.016773, -0.0723134, 0.0528155, 0.0372027, 0.0766407, -0.138844, -0.0420664, 0.277538, 0.0124758, -0.0399454, 0.1127, -0.0887501, 0.0383374, 0.0556414, 0.049601, -0.0534928, 0.00644262, -0.00658368, 0.00871263, 0.0228247, 0.00507282, -0.0427582, 0.00577398, -0.0275469, 0.00260813, -0.00686592, -0.000817625, -0.0164196, 0.0332683, -0.0279619, -0.0115121, -0.05636, 0.0362772, 0.0370534, 0.0545947, -0.0982979, -0.0330029, 0.209148, 0.0106871, -0.0356162, 0.0834721, -0.0741814, 0.0317266, 0.0425938, 0.0381521, -0.044181, -0.00188184, -0.00191428, 0.0259509, 0.056306, 0.0106008, -0.0783457, 0.00301838, -0.0291439, 0.0134515, -0.0170265, -0.0210868, -0.0410696, 0.0747335, -0.0331864, -0.0207477, -0.0968227, 0.0683052, 0.0533692, 0.113271, -0.180063, -0.0473848, 0.342406, 0.0113138, -0.0457328, 0.137964, -0.0969523, 0.0509535, 0.0640348, 0.0533501, -0.0664684, 0.0241439, -0.00837932, -0.0238804, -0.0290549, 0.000275906, 0.0339272, 0.00911356, -0.0035445, -0.00878016, -0.0217584, 0.0291669, -0.0025024, -0.0167301, -0.0127407, 0.00280647, -0.0092445, -0.000224069, 0.0217795, 0.00902687, 0.0405229, 0.0032665, 0.0204105, -0.00718486, -0.0257595, 0.00931361, -0.00333384, 0.0219201, -0.00877655, -0.00380577
"the", 4, 2.31359e+10, AT0, 4, -0.621961, 0.0827753, 0.185443, 0.715937, -0.0701991, 0.0891798, 0.315994, -0.150087, 0.206427, 0.0461619, -0.107682, -0.0582542, -0.00334739, 0.0734318, -0.07134, -0.00991677, -0.0326175, 0.0332577, -0.000665928, -0.0354504, -0.00291739, 0.0562271, 0.0011582, -0.000995021, -0.0119152, 0.00571147, -0.00823661, 0.00572394, 0.000347933, -0.0040505, -0.0516958, 0.00826341, 0.0171585, 0.0477822, 0.00440556, 0.00619235, 4.68108e-05, -0.0031146, 0.0040845, 0.00462803, -0.0211193, 0.00523973, -0.000552866, 0.0117304, -0.0309313, -0.00190375, -0.0045672, 0.00689999, 0.00237429, -0.0135361, 0.00345332, 0.0101568, 0.012832, 0.00064463, -0.0135919, 0.01159, -0.00546343, 0.0122623, -0.00389154, -0.00353854, -0.0453408, 0.00507177, 0.0218481, 0.0824264, 0.00788208, 0.00923554, 0.00251561, -0.0104786, 0.0144557, 0.00869748, -0.0224579, 0.00561113, 0.00739055, 0.0218656, -0.059105, -0.00593576, 0.0175854, -0.010806, -0.00114788, -0.0329545, 0.00108499, 0.00230953, -0.000843439, 0.00862242, -0.00856905, 0.008042, -0.0132514, 0.00552326, -0.00115364, 0.00330718, -0.0419588, 0.00676684, 0.0162046, 0.0465985, 0.0558947, -0.0022325, -0.13865, 0.0246002, -0.0280373, 0.00775319, -0.0236738, 0.0399248, 0.0764595, 0.00797929, -0.143999, -0.0195156, 0.194403, -0.154052, -0.00572031, -0.00652093, 0.00151323, -0.0398019, -0.0114596, 0.0140854, -0.00734299, 0.00331133, -0.0186668, -0.00357912, 0.0075747, 0.0123646, -0.0958159, 0.0328726, 0.00433746, -0.10047, -0.0558688, -0.00941975, 0.0385145, 0.0208752, -0.0187853, -0.0158225, -0.0350952, 0.0226625, 0.00734621, -0.0385448, -0.0165473, 0.0122606, 0.00444706, -0.0127871, 0.0272966, -0.0121418, 0.0433153, 0.00517986, 0.0123939, -0.00303893, -0.0390108, 0.0136223, -0.00334861, 0.0175393, 0.00151732, -0.0183484
".", 5, 2.2077e+10, unk, 5, -0.527382, -0.0316464, 0.0972972, 0.306346, 0.228463, -0.0653413, -0.353969, 0.0479771, -0.08401, 0.0212513, -0.000601252, 0.0592705, -0.0478492, 0.0244301, -0.0275235, 0.00570631, -0.129211, 0.0739403, 0.0311716, -0.1033, 0.134057, -0.0598931, -0.0893442, 0.0108242, 0.0436836, -0.0356642, 0.0278288, 0.00172518, -0.0223761, -0.0245654, -0.060349, -0.0102039, -0.0776065, -0.026273, -0.0358202, -0.00720664, 0.00246217, 0.0188181, -0.0115061, -0.00829686, -0.0177594, 0.0030109, 0.0063978, 0.0490244, 0.0362393, 0.0629029, 0.00590617, -0.0180678, -0.00888334, -0.0513767, 0.0773006, -0.0268211, 0.0028219, -0.00592674, -0.0110273, -0.0196793, 0.00444184, 0.00769116, -0.00326147, -0.000207595, -0.0156926, -0.112221, -0.0394301, -0.00433446, 0.013788, 0.0120558, 0.00524156, 0.013883, 0.0133355, 0.00571116, -0.010646, -0.0194009, 0.0358676, 0.38753, 0.212317, 0.291873, 0.101001, -0.0712631, -0.107164, -0.12574, 0.149393, -0.0460714, 0.0950374, -0.0415668, -0.0120649, -0.0568356, -0.0215678, 0.0550193, 0.0166441, 0.0220374, -0.0166423, -0.280873, 0.0593167, -0.00706232, -0.0340895, 0.0104884, 0.0287738, 0.000761634, -0.0167947, -0.00513334, -6.34586e-05, 0.00856816, 0.000272526, -0.0258697, -0.00912404, -0.000804426, 0.023347, 0.00582969, 0.00526635, -0.00228101, -0.00106721, 0.00360036, 0.00865815, 0.0099665, -0.00541083, 0.00959295, -0.000393584, 0.0100543, 0.00157162, -0.0127457, -0.0027779, -0.00279126, -0.0747222, -0.0164896, 0.507982, 0.195337, 0.383225, 0.266913, 0.0234061, -0.0943393, 0.115732, 0.461518, 0.00646959, -0.0342971, -0.0311921, 0.019844, 0.00715205, -0.00109032, -0.00386459, -0.0306132, 0.0529436, 0.00848742, 0.0102631, -0.0342789, 0.00556386, 0.0261237, 0.0194141, 0.00785857, -0.0261601, -0.0119448
"<unk>", 6, 2.15948e+10, unk, 6, -0.336326, -0.260475, -1.26211, 0.232773, -0.142, -0.0324219, -0.0394088, 0.0214038, -0.00109347, -0.0171333, 0.0163024, 0.00808646, -0.00157438, -0.0357767, -0.00975779, 0.00264873, 0.00419555, 0.00218423, -0.00190136, -0.00841867, 0.0114464, -0.00124683, 0.00702103, -0.00900331, -0.000454404, -0.0026952, 0.00119586, -0.000768204, -0.00138617, -0.00204451, -0.0225234, -0.0186565, -0.425233, 0.122111, -0.0861833, -0.0208722, -0.0381209, 0.0237676, -0.00239102, -0.0192254, 0.0168344, 0.00522854, -0.00215105, -0.0639451, -0.0230911, 0.00645423, 0.00484201, 0.0107035, -0.0013958, -0.017503, 0.0266937, -0.0035694, 0.0398807, -0.0653535, -0.00167473, -0.022418, 0.0310683, -0.0104958, -0.0174347, -0.0173729, -0.0236769, -0.0196061, -0.399904, 0.113508, -0.0757609, -0.017984, -0.0392712, 0.0224655, -0.000949415, -0.0174645, 0.0155632, 0.000622951, -0.00405378, -0.0535272, -0.0198298, 0.0093133, -0.000246095, 0.0127241, 2.60248e-05, -0.0155319, 0.0217211, -0.0077233, 0.0589914, -0.0562691, -0.00497029, -0.0109995, 0.0135437, -0.013758, -0.00675779, -0.00148576, -0.0220407, -0.020113, -0.43838, 0.126061, -0.0940123, -0.0229074, -0.0391518, 0.0244224, -0.00246293, -0.0212201, 0.0181144, 0.0108199, -0.00334826, -0.0654776, -0.0223152, 0.00626814, 0.00330671, 0.00972117, -0.00161242, -0.0247736, 0.0367549, -0.00696375, 0.0379469, -0.062606, -0.00124495, -0.0224545, 0.0182666, -0.0199762, -0.0128883, 0.00462588, -0.0206934, -0.025786, -0.394713, 0.114279, -0.066421, -0.0167529, -0.0429216, 0.0246336, -0.00019724, -0.0141398, 0.0173441, 0.0012399, -0.00731634, -0.0474282, -0.0203718, 0.0057021, -0.00961394, 0.0150144, 0.00109026, -0.00634964, 0.0130283, -0.0102587, 0.0577244, -0.0435554, -0.00305307, -0.00796527, 0.01398, -0.00426208, -0.0133158, -0.012222
"-", 7, 1.63371e+10, unk, 7, -0.275165, -0.0378197, -0.065304, -0.0217613, 0.121435, 0.015932, -0.0818849, -0.00161179, 0.0328178, 0.0508715, -0.00630203, -0.0608245, 0.0370703, 0.145917, -0.00733111, 0.00676283, 0.0197126, 0.0309388, 0.0021531, 0.085514, -0.121424, 0.06006, -0.0537268, -0.10004, 0.0199564, -0.0353732, 0.153963, 0.0192979, -0.0532778, -0.0529155, -0.0515789, -0.00460962, -0.0152195, -0.0271723, 0.0192546, 0.00425069, -0.0165391, 0.00722076, 0.00351963, 0.0165847, -0.0176475, -0.0285554, 0.0230195, 0.0908438, -0.00197172, 0.0103251, 0.00800779, 0.0292777, 0.0127098, 0.0950596, -0.143034, 0.0895049, -0.0756422, -0.171461, 0.0242428, -0.0600458, 0.294491, 0.0341392, -0.121838, -0.113379, -0.0562147, -0.00267123, -0.0136262, -0.0272279, 0.00385607, -0.000363381, -0.0204981, 0.00828987, -0.00540814, 0.0082462, -0.0184173, -0.00922353, 0.0160895, 0.0631587, -0.00923189, 0.00824047, -0.00170764, 0.0165817, 0.0156236, 0.0657534, -0.0953012, 0.0558945, -0.0468062, -0.115867, 0.0168264, -0.0349562, 0.18966, 0.0267343, -0.0828419, -0.0751053, -0.0503842, -0.00697925, -0.0120954, -0.0339128, 0.0275949, 0.00396251, -0.03289, 0.010932, 0.00440092, 0.0266531, -0.0158652, -0.0266478, 0.024065, 0.108366, -0.0116173, 0.0102592, 0.00901134, 0.0358823, 0.021972, 0.121991, -0.181135, 0.100707, -0.0850096, -0.196739, 0.0275991, -0.0662336, 0.343034, 0.0292694, -0.139153, -0.117279, -0.0831678, 0.0285416, -0.0118511, -0.0731099, -0.049299, -0.0072976, 0.0288301, 0.0120588, -0.0128993, -0.00997671, -0.0291588, 0.0114429, 0.0121092, -0.0216503, -0.00106732, -0.0109272, 0.0125667, -0.00913456, 0.0133605, 0.000610719, 0.0182724, 0.0176947, -0.00964179, -0.0296586, -0.0172666, -0.00247403, 0.0146142, 0.0157167, -0.0084098, -0.0247686
"of", 8, 1.31519e+10, PRF, 8, -0.301183, 0.00968916, 0.0672181, 0.211343, 0.135329, 0.0164098, -0.246728, 0.0226424, 0.00563089, 0.0111736, -0.041579, 0.0506614, 0.157332, 0.000362476, -0.186567, -0.0260693, 0.259692, -0.195842, -0.0198818, -0.00522213, -0.0128283, -0.0122921, -0.00487535, 0.0143272, 0.00361217, -0.00210114, -0.0132977, -0.00697293, 0.00795033, 0.00846825, -0.0486923, 0.00126569, 0.0161147, 0.0435751, 0.0186294, 0.00466429, -0.0253889, 0.00204763, -0.00586541, 0.00422109, -0.0152718, 0.00443057, -0.00343263, 0.0165614, -0.0341002, -0.00245002, -0.0247759, 0.0181121, 0.00737051, -0.0177203, 0.0128318, -0.0109752, 0.0178141, 0.00613132, -0.00223047, 0.0112624, -0.00553554, 0.0112853, -0.000122096, -0.00644769, -0.0480237, 0.000468504, 0.0141672, 0.0305178, 0.0299162, -0.0014587, -0.0648532, 0.0114246, -0.0225218, 0.00633978, -0.0161196, 0.0156932, -0.0161573, 0.0231884, -0.0362337, -0.00278492, -0.0259519, 0.0155907, 0.0170632, -0.0116789, 0.0106635, -0.0298801, 0.0177382, 0.00336674, 0.000651054, 0.0116972, -0.00244514, 0.0131538, -0.00828137, -0.00228139, -0.0620988, 0.00477972, 0.00782369, -0.0234763, 0.00657931, -0.00406409, -0.0410467, 0.0145093, -0.0163349, -0.00323768, -0.0166654, 0.0125517, -0.0129928, 0.00599414, -0.0113091, 0.00150135, -0.0404379, 0.0260734, 0.0270516, 0.00555901, 0.00118933, -0.0166845, 0.0371431, -0.00421088, -0.0140385, 0.0199157, 0.00233918, 0.00829938, -0.00210394, 0.0081669, -0.0539655, 0.0193305, 0.0345295, 0.165109, -0.0557244, 0.0296207, 0.176709, -0.073189, 0.115308, 0.0209549, -0.0838149, -0.0342793, 0.00515041, 0.0578054, -0.0799523, -0.00526319, -0.041827, 0.0401818, 0.0108373, -0.076429, -0.016892, 0.0910949, 0.0035667, -0.00737854, -0.0301639, 0.0141427, -0.0166332, 0.0300652, -0.00450918, -0.0296434
"and", 9, 1.29976e+10, CJC, 9, -0.210135, -0.00513233, 0.0353156, 0.0946476, 0.0660135, 0.00313567, -0.120227, 0.0147575, -0.00792589, 0.00424235, -0.00886489, 0.0247484, 0.00317157, 0.0125703, -0.00494124, -0.00738471, -0.0327003, 0.0281165, 0.00915202, -0.00652324, 0.0183454, -0.00648035, 0.0085498, -0.00133454, -0.0042664, 0.00466263, 0.0108269, 0.00457184, -0.00764607, 0.00580796, -0.0505472, 0.00627901, 0.01599, 0.0378312, 0.0121216, 0.00130416, -0.0191808, 0.00377109, -0.00896084, 0.00179593, -0.0111717, 0.00335893, 0.00657874, -0.00485153, -0.0132109, 0.000561818, -0.00169316, 0.00384324, -0.00251603, -0.0181014, 0.0279212, 0.00249498, -0.00818462, 0.00441193, 0.00617623, -0.00275357, 0.00818838, 0.00839068, -0.00926789, -0.0133163, -0.0488902, 0.00173009, 0.0163779, 0.0391297, 0.0157715, 0.000813572, -0.0311021, 0.00549955, -0.0145188, 0.00319032, -0.00654383, 0.00565062, 0.00027048, 0.00711969, -0.0214602, -0.000723848, -0.0148733, 0.0118411, 0.00327004, -0.0258095, 0.0250893, -0.00138895, -0.0132564, 0.00533264, 0.0153013, -0.00680379, 0.0145453, 0.0100244, -0.0144851, -0.0179115, -0.0523436, 0.00160363, 0.0131402, 0.0116491, 0.014202, -0.00354615, -0.0432952, 0.011115, -0.0188905, 0.000908681, -0.00856262, 0.00818016, -0.00463879, 0.0076768, -0.0239755, -0.00254672, 0.00110918, -0.00229675, 0.0123676, -0.0163712, 0.0134246, -0.00443936, -0.00926412, 0.00240907, 0.0238098, -0.00964094, 0.0251615, 0.00546514, -0.0145511, -0.0169206, -0.0767559, 0.0288957, 0.0112182, -0.0248538, -0.04862, -0.00136448, 0.0617784, -0.00258494, 0.00741856, -0.00593757, -0.0327258, 0.00391994, -0.008777, -0.0132323, -0.0104985, 0.0123098, 0.00872226, -0.0110798, 0.0139809, -0.00717041, 0.0267778, 0.0148812, 0.0150053, -0.00292162, -0.0251574, 0.0114812, -0.00836733, 0.0178524, 0.00474597, -0.0154954
